"filename", "language", "Shell Script", "Markdown", "JSON", "JavaScript", "XML", "SCSS", "CSS", "HTML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\headingOne.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\headingTwo.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\orderedList.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\subscript.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\superscript.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\unlink.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Toolbar\toolbarIcons\unorderedList.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\common\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\common\Icon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 36, 10, 64
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\plugins\withEmbeds.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\plugins\withLinks.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\plugins\withTable.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 16, 91
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\utils\SlateUtilityFunctions.js", "JavaScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 3, 10, 102
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\utils\embed.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\utils\link.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 7, 52
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\utils\paragraph.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\utils\table.js", "JavaScript", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 12, 112
"d:\Documents\GitHub\berthong\frontend\src\components\editable\TestComp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 4, 20
"d:\Documents\GitHub\berthong\frontend\src\constants.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 15, 60
"d:\Documents\GitHub\berthong\frontend\src\editor\Editor.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 7, 41
"d:\Documents\GitHub\berthong\frontend\src\fields\BankInputField.js", "JavaScript", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 2, 17, 151
"d:\Documents\GitHub\berthong\frontend\src\fields\InputPasswordField.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Documents\GitHub\berthong\frontend\src\gqlQuery.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 5, 4, 56
"d:\Documents\GitHub\berthong\frontend\src\helpers\ReadMoreMaster.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 9, 65
"d:\Documents\GitHub\berthong\frontend\src\helpers\data.js", "JavaScript", 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 1, 20, 521
"d:\Documents\GitHub\berthong\frontend\src\index.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 7, 54
